Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
391,5000,-2438.81,81,-1005.95,25167,-52.83
392,5000,-994.89,49,-979.7,25216,-1262.75
393,5000,-1710.42,46,-1000.66,25262,-675.88
394,5000,-1648.93,85,-1116.16,25347,-237.58
395,5000,-1076.77,104,-1170.45,25451,-152.06
396,5000,-1996,52,-1327.15,25503,-852.08
397,5000,-799.38,41,-1283.11,25544,-625.73
398,5000,-930.59,43,-1351.63,25587,-1574.57
399,5000,-1187.76,59,-1434.03,25646,-1036.2
400,5000,-2431.12,87,-1521.47,25733,-225
401,5000,-1665.37,58,-1444.12,25791,-820.7
402,5000,-1138.89,44,-1458.52,25835,-1652.87
403,5000,-1195.78,76,-1407.06,25911,-277.6
404,5000,-1759.24,71,-1418.09,25982,-536.82
405,5000,-1443.04,47,-1454.72,26029,-2332.29
406,5000,-1611.54,149,-1416.27,26178,-158.28
407,5000,-1173.04,65,-1453.64,26243,-943.24
408,5000,-746.7,39,-1435.25,26282,-872.64
409,5000,-1454.98,116,-1461.97,26398,-398.39
410,5000,-1522.43,150,-1371.1,26548,-243.55
411,5000,-1836.21,62,-1388.18,26610,-773.44
412,5000,-1658.15,107,-1440.11,26717,-909.13
413,5000,-686.97,63,-1389.23,26780,-634.6
414,5000,-2063.3,83,-1419.64,26863,-449.92
415,5000,-1061.39,60,-1381.47,26923,-1341.34
416,5000,-139.76,24,-1234.29,26947,-459.83
417,5000,-937.59,43,-1210.75,26990,-876.27
418,5000,-2578.1,87,-1393.89,27077,-464.51
419,5000,-91.54,23,-1257.54,27100,-337.98
420,5000,-863.67,32,-1191.67,27132,-874.81
421,5000,-231.19,42,-1031.17,27174,-606.29
422,5000,-1074.19,35,-972.77,27209,-854.1
423,5000,-592,79,-963.27,27288,-346.61
424,5000,-1564.26,43,-913.37,27331,-1029.76
425,5000,-1395.84,64,-946.81,27395,-1894.45
426,5000,-1621.3,39,-1094.97,27434,-2269.97
427,5000,-1112.56,69,-1112.46,27503,-1021.1
428,5000,-1178.49,49,-972.5,27552,-1135.46
429,5000,-1108.29,33,-1074.18,27585,-941.37
430,5000,-969.55,65,-1084.77,27650,-540.77
431,5000,-996.41,97,-1161.29,27747,-1108.05
432,5000,-902.71,36,-1144.14,27783,-1139.04
433,5000,-1034.35,52,-1188.38,27835,-1050.82
434,5000,-1669.31,68,-1198.88,27903,-1952.67
435,5000,-1713,59,-1230.6,27962,-1346.06
436,5000,-1188.22,30,-1187.29,27992,-762.99
437,5000,-1055.32,31,-1181.57,28023,-890.5
438,5000,-1532.22,41,-1216.94,28064,-2225.58
439,5000,-2325.44,79,-1338.65,28143,-212.17
440,5000,-1559.1,45,-1397.61,28188,-841.68
441,5000,-2756.89,98,-1573.66,28286,-527.78
442,5000,-3190.38,101,-1802.42,28387,-503.08
443,5000,-752.95,57,-1774.28,28444,-458.53
444,5000,-2593.93,68,-1866.75,28512,-1801.54
445,5000,-1613.88,50,-1856.83,28562,-865.91
446,5000,-2859.18,97,-2023.93,28659,-476.33
447,5000,-2228.38,63,-2141.24,28722,-1092.96
448,5000,-85.56,21,-1996.57,28743,-298.56
449,5000,-2158.36,113,-1979.86,28856,-281.8
450,5000,-2169.42,78,-2040.89,28934,-1325.98
451,5000,-1677.98,49,-1933,28983,-759.84
452,5000,-1953.85,50,-1809.35,29033,-596.55
453,5000,-2159.71,70,-1950.03,29103,-1162.11
454,5000,-1815.65,45,-1872.2,29148,-712.04
455,5000,-844.71,32,-1795.28,29180,-775.92
456,5000,-2951.2,84,-1804.48,29264,-2082.47
457,5000,-408.04,32,-1622.45,29296,-820.9
458,5000,-618.36,28,-1675.73,29324,-681.22
459,5000,-648.54,32,-1524.75,29356,-939.29
460,5000,-2969.51,69,-1604.75,29425,-384.98
461,5000,-3466.47,68,-1783.6,29493,-1642.47
462,5000,-3001.12,67,-1888.33,29560,-637.88
463,5000,-2421.11,88,-1914.47,29648,-231.93
464,5000,-849.64,30,-1817.87,29678,-663.36
465,5000,-885.87,69,-1821.98,29747,-754.95
466,5000,-3173.88,106,-1844.25,29853,-351.88
467,5000,-3491.19,78,-2152.57,29931,-2116.72
468,5000,-3532.67,89,-2444,30020,-671.24
469,5000,-362.18,23,-2415.36,30043,-464.7
470,5000,-3520.8,84,-2470.49,30127,-870.92
471,5000,-1624.78,40,-2286.32,30167,-2357.54
472,5000,-533.12,29,-2039.52,30196,-772.94
473,5000,-1471.76,40,-1944.59,30236,-2196.38
474,5000,-1939.37,82,-2053.56,30318,-767.37
475,5000,-1725.67,56,-2137.54,30374,-599.11
476,5000,-3047.94,67,-2124.95,30441,-1654.94
477,5000,-3142.62,109,-2090.09,30550,-264.71
478,5000,-899.31,108,-1826.75,30658,-520.44
479,5000,-477.37,40,-1838.27,30698,-285.13
480,5000,-1918.75,53,-1678.07,30751,-447.41
481,5000,-3201.69,88,-1835.76,30839,-1197.66
482,5000,-1425.64,91,-1925.01,30930,-326.41
483,5000,-1209.17,32,-1898.75,30962,-1015.42
484,5000,-104.47,21,-1715.26,30983,-471.12
485,5000,-522.01,29,-1594.9,31012,-628.97
486,5000,-86.45,19,-1298.75,31031,-137.19
487,5000,-2246.5,61,-1209.14,31092,-1237.54
488,5000,-2535.91,90,-1372.8,31182,-1027.42
489,5000,-3909.24,127,-1715.98,31309,-415.49
490,5000,-3318.81,87,-1855.99,31396,-206.09
491,5000,-1162.75,70,-1652.1,31466,-307.06
492,5000,-186.38,22,-1528.17,31488,-221.27
493,5000,-106.42,20,-1417.9,31508,-147.55
494,5000,-2742.32,89,-1681.68,31597,-946.05
495,5000,-3604.98,114,-1989.98,31711,-812.42
496,5000,-2121.76,56,-2193.51,31767,-1908.65
497,5000,-3205.13,93,-2289.37,31860,-1651.42
498,5000,-2214.46,66,-2257.23,31926,-2364.22
499,5000,-2334.45,62,-2099.75,31988,-434.4
500,5000,-822.01,30,-1850.07,32018,-756.44
501,5000,-2911.69,85,-2024.96,32103,-1364.91
502,5000,-1369.97,35,-2143.32,32138,-1196.91
503,5000,-380.92,28,-2170.77,32166,-522.06
504,5000,-3722.47,70,-2268.78,32236,-1527.14
505,5000,-2569.31,87,-2165.22,32323,-1480.65
506,5000,-2582.39,73,-2211.28,32396,-197.53
507,5000,-2515.76,127,-2142.34,32523,-245.16
508,5000,-2295.4,114,-2150.44,32637,-496.12
509,5000,-1887,74,-2105.69,32711,-596.27
510,5000,-2851.89,113,-2308.68,32824,-409.24
511,5000,-631.9,32,-2080.7,32856,-873.51
512,5000,-75.51,26,-1951.26,32882,-615.67
513,5000,-3743.14,98,-2287.48,32980,-961.82
514,5000,-601.79,29,-1975.41,33009,-769.88
515,5000,-268.69,59,-1745.35,33068,-355.4
516,5000,-108.7,22,-1497.98,33090,-497.86
517,5000,-2483.53,72,-1494.75,33162,-1218.98
