Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260703_230817_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:   -57.76 | Episode steps:   44 | Average reward:   -57.76 | Step Count:   44 | Episode Q0:    -0.15
Episode:  79/5000 | Episode reward:   -49.70 | Episode steps:   60 | Average reward:   -13.21 | Step Count: 4416 | Episode Q0:     0.09
Episode:  80/5000 | Episode reward:    32.61 | Episode steps:   56 | Average reward:    -5.81 | Step Count: 4472 | Episode Q0:     0.09
Episode:  81/5000 | Episode reward:     3.89 | Episode steps:   51 | Average reward:    -8.54 | Step Count: 4523 | Episode Q0:     0.09
Episode:  82/5000 | Episode reward:   -44.66 | Episode steps:   40 | Average reward:   -10.24 | Step Count: 4563 | Episode Q0:     0.09
Episode:  83/5000 | Episode reward:   -35.29 | Episode steps:   41 | Average reward:    -7.33 | Step Count: 4604 | Episode Q0:     0.09
Episode:  84/5000 | Episode reward:   -16.94 | Episode steps:   45 | Average reward:    -7.83 | Step Count: 4649 | Episode Q0:     0.09
Episode:  85/5000 | Episode reward:     9.58 | Episode steps:   41 | Average reward:    -9.24 | Step Count: 4690 | Episode Q0:     0.09
Episode:  86/5000 | Episode reward:    -3.53 | Episode steps:   72 | Average reward:   -10.81 | Step Count: 4762 | Episode Q0:     0.09
Episode:  87/5000 | Episode reward:    -6.25 | Episode steps:   33 | Average reward:   -13.17 | Step Count: 4795 | Episode Q0:     0.09
Episode:  88/5000 | Episode reward:    11.77 | Episode steps:   68 | Average reward:    -9.85 | Step Count: 4863 | Episode Q0:     0.09
Episode:  89/5000 | Episode reward:     9.44 | Episode steps:   41 | Average reward:    -3.94 | Step Count: 4904 | Episode Q0:     0.09
Episode:  90/5000 | Episode reward:   -57.70 | Episode steps:   39 | Average reward:   -12.97 | Step Count: 4943 | Episode Q0:     0.09
Episode:  91/5000 | Episode reward:    -5.80 | Episode steps:   27 | Average reward:   -13.94 | Step Count: 4970 | Episode Q0:     0.09
Episode:  92/5000 | Episode reward:     4.65 | Episode steps:   61 | Average reward:    -9.01 | Step Count: 5031 | Episode Q0:     0.79
Episode:  93/5000 | Episode reward:   -69.43 | Episode steps:   43 | Average reward:   -12.42 | Step Count: 5074 | Episode Q0:     0.79
Episode:  94/5000 | Episode reward:    19.57 | Episode steps:   66 | Average reward:    -8.77 | Step Count: 5140 | Episode Q0:     0.79
Episode:  95/5000 | Episode reward:     2.60 | Episode steps:   39 | Average reward:    -9.47 | Step Count: 5179 | Episode Q0:     0.79
Episode:  96/5000 | Episode reward:    -3.23 | Episode steps:   62 | Average reward:    -9.44 | Step Count: 5241 | Episode Q0:     0.79
Episode:  97/5000 | Episode reward:   -40.36 | Episode steps:   44 | Average reward:   -12.85 | Step Count: 5285 | Episode Q0:     0.79
Episode:  98/5000 | Episode reward:    -8.56 | Episode steps:   55 | Average reward:   -14.88 | Step Count: 5340 | Episode Q0:     0.79
Episode:  99/5000 | Episode reward:    13.64 | Episode steps:   81 | Average reward:   -14.46 | Step Count: 5421 | Episode Q0:     0.79
Episode: 100/5000 | Episode reward:   -88.53 | Episode steps:   44 | Average reward:   -17.55 | Step Count: 5465 | Episode Q0:     0.79
Episode: 101/5000 | Episode reward:    21.71 | Episode steps:   45 | Average reward:   -14.80 | Step Count: 5510 | Episode Q0:     0.79
Episode: 102/5000 | Episode reward:   -26.09 | Episode steps:   34 | Average reward:   -17.87 | Step Count: 5544 | Episode Q0:     0.79
Episode: 103/5000 | Episode reward:     0.25 | Episode steps:   40 | Average reward:   -10.90 | Step Count: 5584 | Episode Q0:     0.79
